XD,TimeStamp,travel_time_seconds
448838574.0,2022-10-09 07:00:00,21.0125
448838574.0,2022-10-09 08:00:00,21.5975
448838574.0,2022-10-09 09:00:00,24.192501
448838574.0,2022-10-09 10:00:00,20.435001
448838574.0,2022-10-09 11:00:00,22.2225
448838574.0,2022-10-09 12:00:00,23.119999
448838574.0,2022-10-09 13:00:00,23.627499
448838574.0,2022-10-09 14:00:00,26.525
448838574.0,2022-10-09 15:00:00,25.21
448838574.0,2022-10-09 16:00:00,24.47
448838574.0,2022-10-09 17:00:00,23.7475
448838574.0,2022-10-09 18:00:00,24.34
448838574.0,2022-10-09 19:00:00,24.7
448838574.0,2022-10-10 06:00:00,18.994999
448838574.0,2022-10-10 07:00:00,25.355
448838574.0,2022-10-10 08:00:00,22.62
448838574.0,2022-10-10 09:00:00,22.025
448838574.0,2022-10-10 10:00:00,23.1025
448838574.0,2022-10-10 11:00:00,25.9925
448838574.0,2022-10-10 12:00:00,24.61
448838574.0,2022-10-10 13:00:00,24.3575
448838574.0,2022-10-10 14:00:00,28.5
448838574.0,2022-10-10 15:00:00,29.4425
448838574.0,2022-10-10 16:00:00,33.705
448838574.0,2022-10-10 17:00:00,38.4675
448838574.0,2022-10-10 18:00:00,25.0
448838574.0,2022-10-10 19:00:00,22.8525
448838574.0,2022-10-11 06:00:00,22.09
448838574.0,2022-10-11 07:00:00,24.545
448838574.0,2022-10-11 08:00:00,23.654999
448838574.0,2022-10-11 09:00:00,22.4175
448838574.0,2022-10-11 10:00:00,22.84
448838574.0,2022-10-11 11:00:00,23.0975
448838574.0,2022-10-11 12:00:00,25.244999
448838574.0,2022-10-11 13:00:00,25.699999
448838574.0,2022-10-11 14:00:00,30.425
448838574.0,2022-10-11 15:00:00,27.7375
448838574.0,2022-10-11 16:00:00,43.705
448838574.0,2022-10-11 17:00:00,40.14
448838574.0,2022-10-11 18:00:00,28.1175
448838574.0,2022-10-11 19:00:00,75.11
448838574.0,2022-10-12 06:00:00,22.705
448838574.0,2022-10-12 07:00:00,22.355
448838574.0,2022-10-12 08:00:00,24.9225
448838574.0,2022-10-12 09:00:00,24.115
448838574.0,2022-10-12 10:00:00,27.9925
448838574.0,2022-10-12 11:00:00,23.9975
448838574.0,2022-10-12 12:00:00,24.85
448838574.0,2022-10-12 13:00:00,28.3725
448838574.0,2022-10-12 14:00:00,31.627499
448838574.0,2022-10-12 15:00:00,29.2175
448838574.0,2022-10-12 16:00:00,34.440002
448838574.0,2022-10-12 17:00:00,34.864998
448838574.0,2022-10-12 18:00:00,27.615
448838574.0,2022-10-12 19:00:00,24.0525
448838575.0,2022-09-02 06:00:00,18.795
448838575.0,2022-09-02 07:00:00,20.380001
448838575.0,2022-09-02 08:00:00,21.0625
448838575.0,2022-09-02 09:00:00,20.66
448838575.0,2022-09-02 10:00:00,26.4
448838575.0,2022-09-02 11:00:00,24.06
448838575.0,2022-09-02 12:00:00,26.04
448838575.0,2022-09-02 13:00:00,24.5725
448838575.0,2022-09-02 14:00:00,31.09
448838575.0,2022-09-02 15:00:00,32.260002
448838575.0,2022-09-02 16:00:00,31.615
448838575.0,2022-09-02 17:00:00,25.1075
448838575.0,2022-09-02 18:00:00,24.58
448838575.0,2022-09-02 19:00:00,23.2
448838575.0,2022-09-03 06:00:00,13.4525
448838575.0,2022-09-03 07:00:00,17.33
